model,split,repeat,fold,train_rows,validation_rows,fit_seconds,accuracy,balanced_accuracy,precision,recall,f1
hist_gradient_boosting,0,0,0,0,179,0.0,0.8379888268156425,0.8114624505928854,0.8571428571428571,0.6956521739130435,0.768
hist_gradient_boosting,1,0,1,0,178,0.0,0.848314606741573,0.8183155080213904,0.8867924528301887,0.6911764705882353,0.7768595041322314
hist_gradient_boosting,2,0,2,0,178,0.0,0.8089887640449438,0.7696524064171123,0.8541666666666666,0.6029411764705882,0.7068965517241379
hist_gradient_boosting,3,0,3,0,178,0.0,0.8426966292134831,0.8109625668449199,0.8846153846153846,0.6764705882352942,0.7666666666666667
hist_gradient_boosting,4,0,4,0,178,0.0,0.848314606741573,0.8203031511767052,0.8888888888888888,0.6956521739130435,0.7804878048780488
hist_gradient_boosting,5,1,0,0,179,0.0,0.8715083798882681,0.8441370223978919,0.9259259259259259,0.7246376811594203,0.8130081300813008
hist_gradient_boosting,6,1,1,0,178,0.0,0.8426966292134831,0.8081550802139037,0.9,0.6617647058823529,0.7627118644067796
hist_gradient_boosting,7,1,2,0,178,0.0,0.8033707865168539,0.7679144385026738,0.8235294117647058,0.6176470588235294,0.7058823529411765
hist_gradient_boosting,8,1,3,0,178,0.0,0.848314606741573,0.8183155080213904,0.8867924528301887,0.6911764705882353,0.7768595041322314
hist_gradient_boosting,9,1,4,0,178,0.0,0.8314606741573034,0.8092009041350885,0.8305084745762712,0.7101449275362319,0.765625
hist_gradient_boosting,10,2,0,0,179,0.0,0.8324022346368715,0.8096179183135706,0.8305084745762712,0.7101449275362319,0.765625
hist_gradient_boosting,11,2,1,0,178,0.0,0.8651685393258427,0.8375668449197862,0.9074074074074074,0.7205882352941176,0.8032786885245902
hist_gradient_boosting,12,2,2,0,178,0.0,0.848314606741573,0.8211229946524065,0.8727272727272727,0.7058823529411765,0.7804878048780488
hist_gradient_boosting,13,2,3,0,178,0.0,0.797752808988764,0.7549465240641711,0.8478260869565217,0.5735294117647058,0.6842105263157895
hist_gradient_boosting,14,2,4,0,178,0.0,0.8426966292134831,0.813056774365111,0.8867924528301887,0.6811594202898551,0.7704918032786885
hist_gradient_boosting,15,3,0,0,179,0.0,0.8212290502793296,0.7843214756258234,0.8775510204081632,0.6231884057971014,0.7288135593220338
hist_gradient_boosting,16,3,1,0,178,0.0,0.8258426966292135,0.7973262032085562,0.8363636363636363,0.6764705882352942,0.7479674796747967
hist_gradient_boosting,17,3,2,0,178,0.0,0.8089887640449438,0.7752673796791444,0.8269230769230769,0.6323529411764706,0.7166666666666667
hist_gradient_boosting,18,3,3,0,178,0.0,0.8707865168539326,0.8561497326203209,0.8571428571428571,0.7941176470588235,0.8244274809160306
hist_gradient_boosting,19,3,4,0,178,0.0,0.8033707865168539,0.7649913575322431,0.8541666666666666,0.5942028985507246,0.7008547008547008
hist_gradient_boosting,20,4,0,0,179,0.0,0.8379888268156425,0.8033596837944664,0.9,0.6521739130434783,0.7563025210084033
hist_gradient_boosting,21,4,1,0,178,0.0,0.8089887640449438,0.7949197860962567,0.7575757575757576,0.7352941176470589,0.746268656716418
hist_gradient_boosting,22,4,2,0,178,0.0,0.8258426966292135,0.8029411764705883,0.8135593220338984,0.7058823529411765,0.7559055118110236
hist_gradient_boosting,23,4,3,0,178,0.0,0.8539325842696629,0.825668449197861,0.8888888888888888,0.7058823529411765,0.7868852459016393
hist_gradient_boosting,24,4,4,0,178,0.0,0.7808988764044944,0.7360058502858663,0.8409090909090909,0.5362318840579711,0.6548672566371682
