dimension,group,rows,accuracy,balanced_accuracy,precision,recall,f1,false_positives,false_negatives
Sex,female,314,0.7866242038216561,0.7354156731839135,0.8672566371681416,0.8412017167381974,0.8540305010893247,30,37
Sex,male,577,0.8457538994800693,0.6093370187406885,0.8333333333333334,0.22935779816513763,0.3597122302158273,5,84
Pclass,1,216,0.7777777777777778,0.8029411764705883,0.9230769230769231,0.7058823529411765,0.8,8,40
Pclass,2,184,0.9184782608695652,0.9173480270174191,0.9285714285714286,0.896551724137931,0.9122807017543859,6,9
Pclass,3,491,0.8105906313645621,0.6692531851450257,0.6911764705882353,0.3949579831932773,0.5026737967914439,21,72
AgeGroup,Adult,256,0.8125,0.7875556670639152,0.8831168831168831,0.6355140186915887,0.7391304347826086,9,39
AgeGroup,Age missing,177,0.8418079096045198,0.7700769230769231,0.8157894736842105,0.5961538461538461,0.6888888888888889,7,21
AgeGroup,Child,83,0.8795180722891566,0.8754501800720288,0.8979591836734694,0.8979591836734694,0.8979591836734694,5,5
AgeGroup,Older adult,74,0.8378378378378378,0.801418439716312,0.8571428571428571,0.6666666666666666,0.75,3,9
AgeGroup,Young adult,301,0.8073089700996677,0.7520233163117833,0.8450704225352113,0.5607476635514018,0.6741573033707865,11,47
FamilySizeCategory,Large,62,0.9193548387096774,0.75,1.0,0.5,0.6666666666666666,0,5
FamilySizeCategory,Pair,161,0.7701863354037267,0.7788701622971286,0.8611111111111112,0.6966292134831461,0.7701863354037267,10,27
FamilySizeCategory,Small,131,0.8320610687022901,0.830514705882353,0.881578947368421,0.8375,0.8589743589743589,9,13
FamilySizeCategory,Solo,537,0.8286778398510242,0.745480791312621,0.8446601941747572,0.5337423312883436,0.6541353383458647,16,76
